Univariate,SFS,RFE,Importance,Union,Intersection,Quorum,Greedy,cv_score_Univariate_LR,test_score_Univariate_LR,cv_score_SFS_LR,test_score_SFS_LR,cv_score_RFE_LR,test_score_RFE_LR,cv_score_Importance_LR,test_score_Importance_LR,cv_score_Union_LR,test_score_Union_LR,cv_score_Intersection_LR,test_score_Intersection_LR,cv_score_Quorum_LR,test_score_Quorum_LR,cv_score_Greedy_LR,test_score_Greedy_LR,cv_score_Univariate_GB,test_score_Univariate_GB,cv_score_SFS_GB,test_score_SFS_GB,cv_score_RFE_GB,test_score_RFE_GB,cv_score_Importance_GB,test_score_Importance_GB,cv_score_Union_GB,test_score_Union_GB,cv_score_Intersection_GB,test_score_Intersection_GB,cv_score_Quorum_GB,test_score_Quorum_GB,cv_score_Greedy_GB,test_score_Greedy_GB,cv_score_Univariate_NN,test_score_Univariate_NN,cv_score_SFS_NN,test_score_SFS_NN,cv_score_RFE_NN,test_score_RFE_NN,cv_score_Importance_NN,test_score_Importance_NN,cv_score_Union_NN,test_score_Union_NN,cv_score_Intersection_NN,test_score_Intersection_NN,cv_score_Quorum_NN,test_score_Quorum_NN,cv_score_Greedy_NN,test_score_Greedy_NN
 Average Packet Size, Average Packet Size, Average Packet Size, Average Packet Size,[' Average Packet Size'],[' Average Packet Size'],[' Average Packet Size'], Average Packet Size,0.851693981030086,0.851523855572234,0.8819397260619908,0.8819145347615021,0.8819397260619908,0.8819145347615021,0.8819397260619908,0.8819145347615021,0.8819397260619908,0.8819145347615021,0.8819397260619908,0.8819145347615021,0.8819397260619908,0.8819145347615021,0.8819397260619908,0.8819145347615021,0.851693981030086,0.851523855572234,0.9512797374923468,0.9512722448124532,0.9512797374923468,0.9512722448124532,0.9512797374923468,0.9512722448124532,0.9512797374923468,0.9512722448124532,0.9512797374923468,0.9512722448124532,0.9512797374923468,0.9512722448124532,0.9512797374923468,0.9512722448124532,0.8846807290446052,0.9223557552147248,0.868671640821533,0.8680749243787119,0.8740619314072232,0.9228390153488448,0.8607873143907518,0.875503194807189,0.8568393166145425,0.9225682800933052,0.8749883282037312,0.9184374799944971,0.8930601704022425,0.8672287208300382,0.8690005147101345,0.8583746874504161
 Total Length of Bwd Packets,Init_Win_bytes_forward, Init_Win_bytes_backward, Destination Port,"[' Average Packet Size', 'Init_Win_bytes_forward', ' Total Length of Bwd Packets', ' Init_Win_bytes_backward', ' Destination Port']",[' Average Packet Size'],[' Average Packet Size'], Init_Win_bytes_backward,0.851693981030086,0.851523855572234,0.8782479104677561,0.8781569080001609,0.8830866454018361,0.8832395537723847,0.8850907334623919,0.8851324943328382,0.8827246987236326,0.8827486098230617,0.8819397260619908,0.8819145347615021,0.8819397260619908,0.8819145347615021,0.8830866454018361,0.8832395537723847,0.851693981030086,0.851523855572234,0.9876285101505448,0.9884280065618968,0.978243469120616,0.97859828950914,0.9715925529426054,0.971614229445322,0.9982115805548408,0.9983124810305872,0.9512797374923468,0.9512722448124532,0.9512797374923468,0.9512722448124532,0.978243469120616,0.97859828950914,0.8711429632514219,0.8751190184517113,0.9422434370502561,0.9102610763954747,0.9252728832587518,0.9335299588594603,0.9556881975704952,0.9636386081278079,0.9793090306275172,0.981300149784327,0.8733191307142644,0.8822130573419996,0.8721144327869388,0.8754907256295262,0.9119175534690525,0.9435787889930919
 Destination Port, Init_Win_bytes_backward,Init_Win_bytes_forward, Init_Win_bytes_backward,"[' Average Packet Size', 'Init_Win_bytes_forward', ' Total Length of Bwd Packets', ' Init_Win_bytes_backward', ' Destination Port']",[' Average Packet Size'],"[' Average Packet Size', ' Init_Win_bytes_backward']",Init_Win_bytes_forward,0.851693981030086,0.851523855572234,0.8803647864142647,0.8805226271697181,0.8803647864142647,0.8805226271697181,0.8854413205564953,0.8855287039321493,0.8827246987236326,0.8827486098230617,0.8819397260619908,0.8819145347615021,0.8830866454018361,0.8832395537723847,0.8803647864142647,0.8805226271697181,0.851693981030086,0.851523855572234,0.9968930041363776,0.9971298683949528,0.9968930041363776,0.9971298683949528,0.9931133874169916,0.993499837292548,0.9982115805548408,0.9983124810305872,0.9512797374923468,0.9512722448124532,0.978243469120616,0.97859828950914,0.9968930041363776,0.9971298683949528,0.9570965853914256,0.9574688349820812,0.962867007919835,0.9631563967160475,0.9561439273267094,0.9677552849349721,0.9649366673415194,0.9655199950434046,0.9748573919145637,0.9811176010494318,0.868681397732742,0.8362548309383532,0.9278655204740194,0.9389921156790443,0.9484779599787174,0.9459182651095995
 Subflow Fwd Bytes, Destination Port, Fwd Packet Length Max, Subflow Fwd Bytes,"[' Subflow Fwd Bytes', ' Average Packet Size', 'Init_Win_bytes_forward', ' Fwd Packet Length Max', ' Total Length of Bwd Packets', ' Init_Win_bytes_backward', ' Destination Port']",[' Average Packet Size'],"[' Destination Port', ' Average Packet Size', ' Init_Win_bytes_backward']", Fwd Packet Length Max,0.8525083574522245,0.8526901286909542,0.8826762210881448,0.8827287056609768,0.8773432453527272,0.8773849388676894,0.8866200077545738,0.8868931772285504,0.876313140960337,0.8762526251712068,0.8819397260619908,0.8819145347615021,0.8854413205564953,0.8855287039321493,0.8773432453527272,0.8773849388676894,0.8525083574522245,0.8526901286909542,0.9980426647157375,0.9979208856487108,0.9971641994396302,0.9971723287545564,0.9933143397590968,0.993626031601436,0.9982658452698882,0.9981790125122074,0.9512797374923468,0.9512722448124532,0.9931133874169916,0.993499837292548,0.9971641994396302,0.9971723287545564,0.9550176829598923,0.9553252537245213,0.978488537103041,0.981386746311189,0.9689342553401558,0.9622689625350646,0.9624319459074563,0.9550658104603266,0.9807734023470653,0.9826544490690151,0.8664297953613522,0.882051709165645,0.9675664719971584,0.9697929327589581,0.9683601134022325,0.9319298375712762
Init_Win_bytes_forward, Flow IAT Min, Destination Port, Fwd Packet Length Max,"[' Flow IAT Min', ' Subflow Fwd Bytes', ' Average Packet Size', 'Init_Win_bytes_forward', ' Fwd Packet Length Max', ' Total Length of Bwd Packets', ' Init_Win_bytes_backward', ' Destination Port']","[' Average Packet Size', ' Destination Port']","[' Destination Port', ' Average Packet Size', 'Init_Win_bytes_forward', ' Init_Win_bytes_backward']", Destination Port,0.8525083574522245,0.8526901286909542,0.8827007863658338,0.8827598172600989,0.8762364668046771,0.8760937505706922,0.8890561502142778,0.8889235727974912,0.87628941640094,0.8762880699614477,0.8850907334623919,0.8851324943328382,0.8826762210881448,0.8827287056609768,0.8762364668046771,0.8760937505706922,0.8543510178267395,0.8544613799723725,0.9980788038283308,0.998085198544265,0.998245255796362,0.9983136957583376,0.9935681440498648,0.9938121696706872,0.99853442317886,0.9986216867209902,0.9715925529426054,0.971614229445322,0.9980426647157375,0.9979208856487108,0.998245255796362,0.9983136957583376,0.9750764395304212,0.9767980332468452,0.9796344700190283,0.9762030525739457,0.9782516823231319,0.9734689795496086,0.9566040565882996,0.9595731604962592,0.98141692898312,0.9841907981672313,0.9525749259926328,0.9560614938199269,0.9795265153069813,0.978663143273368,0.9743585743510266,0.9750940257336487
 Init_Win_bytes_backward, Bwd IAT Max, Subflow Fwd Bytes,Init_Win_bytes_forward,"[' Flow IAT Min', ' Subflow Fwd Bytes', ' Average Packet Size', 'Init_Win_bytes_forward', ' Fwd Packet Length Max', ' Total Length of Bwd Packets', ' Init_Win_bytes_backward', ' Bwd IAT Max', ' Destination Port']","[' Init_Win_bytes_backward', ' Average Packet Size', ' Destination Port', 'Init_Win_bytes_forward']","[' Destination Port', ' Subflow Fwd Bytes', ' Average Packet Size', 'Init_Win_bytes_forward', ' Init_Win_bytes_backward']", Subflow Fwd Bytes,0.8525083574522245,0.8526901286909542,0.8829831776419603,0.8830994540167718,0.8762845409042898,0.8765108121200909,0.8762856060296347,0.8765108121200909,0.8755549007836592,0.8755168052920862,0.8826762210881448,0.8827287056609768,0.8846010797707832,0.8849148718650262,0.8762845409042898,0.8765108121200909,0.8546886468634666,0.8548001934763795,0.9980308935298036,0.9981152668779404,0.9982670204730996,0.998329852735642,0.9982670204730996,0.998329852735642,0.9983766624083088,0.9985948768292224,0.9980426647157375,0.9979208856487108,0.9982438159026964,0.9982441720954274,0.9982670204730996,0.998329852735642,0.9785610570333174,0.9818025854579636,0.9815661714851022,0.9706664450722952,0.9742131269587434,0.9646980440417539,0.9801700047768321,0.9758627848052539,0.9822047522764246,0.9847706311806175,0.9781801376526733,0.9805503482437296,0.9804976197851571,0.9809399185363868,0.9811263684117112,0.981904687728446
 Fwd Packet Length Max,Fwd Packets/s, Bwd Packet Length Min, Bwd Packet Length Min,"[' Flow IAT Min', ' Subflow Fwd Bytes', ' Average Packet Size', 'Init_Win_bytes_forward', ' Bwd Packet Length Min', ' Fwd Packet Length Max', ' Total Length of Bwd Packets', ' Init_Win_bytes_backward', ' Bwd IAT Max', ' Destination Port', 'Fwd Packets/s']","[' Init_Win_bytes_backward', ' Average Packet Size', ' Destination Port', 'Init_Win_bytes_forward']","[' Destination Port', ' Subflow Fwd Bytes', ' Fwd Packet Length Max', ' Average Packet Size', 'Init_Win_bytes_forward', ' Init_Win_bytes_backward']", Bwd Packets/s,0.8525083574522245,0.8526901286909542,0.882899145122909,0.8827810663223199,0.8808692122691208,0.8816425252354674,0.8808692122691208,0.8816425252354674,0.8884025463972194,0.8893949768562898,0.8826762210881448,0.8827287056609768,0.8762845409042898,0.8765108121200909,0.8822063223540132,0.8826313995099422,0.8546869844929802,0.8547968500395853,0.9981202867324684,0.9984597332182404,0.998368106087688,0.9983081398172684,0.998368106087688,0.9983081398172684,0.998447925175566,0.9985444273421028,0.9980426647157375,0.9979208856487108,0.9982670204730996,0.998329852735642,0.9985650320944144,0.9984002115066068,0.9828358725217743,0.9833974795384748,0.9853892162334151,0.9869996355546369,0.9792827354910351,0.982090882009713,0.9777212391191314,0.9809902274957941,0.9852929517871788,0.9863167719152698,0.9826755665159631,0.9812332439678285,0.9797450027827228,0.9826332325275712,0.9786000096405114,0.9776757211479178
 Bwd Packets/s, Total Length of Bwd Packets, Min Packet Length, Fwd IAT Std,"[' Flow IAT Min', ' Fwd IAT Std', ' Subflow Fwd Bytes', ' Average Packet Size', 'Init_Win_bytes_forward', ' Bwd Packet Length Min', ' Fwd Packet Length Max', ' Bwd Packets/s', ' Total Length of Bwd Packets', ' Init_Win_bytes_backward', ' Min Packet Length', ' Bwd IAT Max', ' Destination Port', 'Fwd Packets/s']","[' Init_Win_bytes_backward', ' Average Packet Size', ' Destination Port', 'Init_Win_bytes_forward']","[' Destination Port', ' Subflow Fwd Bytes', ' Fwd Packet Length Max', ' Average Packet Size', 'Init_Win_bytes_forward', ' Init_Win_bytes_backward']",Fwd Packets/s,0.8546502882831675,0.8546899541740445,0.8830322276536215,0.8828464709734223,0.9128605002260078,0.9136076583388454,0.8963203972370144,0.8970677013030177,0.9218995534427976,0.9233063804783348,0.8826762210881448,0.8827287056609768,0.8762845409042898,0.8765108121200909,0.8823741884937524,0.8824710675404305,0.8577133720990908,0.8577409989068212,0.9981703730152032,0.9983046755618376,0.9984408489706098,0.9985510452980476,0.9984033095102574,0.9985753678950522,0.9985249663539382,0.9985367241772276,0.9980426647157375,0.9979208856487108,0.9982670204730996,0.998329852735642,0.9983400277124966,0.9983045292134876,0.9831254927526502,0.9902876521413442,0.9855434493254377,0.9870631885194993,0.9797385591185727,0.9801030232213682,0.9824287204463495,0.9806764477578371,0.9881215151959705,0.9891937933023833,0.9748537969554283,0.9810585842660338,0.9826817601205091,0.983365307360585,0.9850364830246754,0.9865046202856176
 Bwd Header Length, URG Flag Count, Fwd IAT Std, Fwd IAT Mean,"[' Flow IAT Min', ' Fwd IAT Std', ' Subflow Fwd Bytes', ' Average Packet Size', 'Init_Win_bytes_forward', ' Bwd Packet Length Min', ' Bwd Header Length', ' Fwd Packet Length Max', ' Bwd Packets/s', ' Total Length of Bwd Packets', ' Init_Win_bytes_backward', ' Min Packet Length', ' Fwd IAT Mean', ' URG Flag Count', ' Bwd IAT Max', ' Destination Port', 'Fwd Packets/s']","[' Init_Win_bytes_backward', ' Average Packet Size', ' Destination Port', 'Init_Win_bytes_forward']","[' Destination Port', ' Subflow Fwd Bytes', ' Fwd Packet Length Max', ' Average Packet Size', 'Init_Win_bytes_forward', ' Init_Win_bytes_backward']", Total Length of Bwd Packets,0.8537452491160813,0.8535882138246366,0.8821976904527553,0.8822852362086745,0.9149012068202176,0.9156392261645344,0.8961723926895123,0.8969061131259543,0.9365964941316298,0.9374622244189617,0.8826762210881448,0.8827287056609768,0.8762845409042898,0.8765108121200909,0.8824340084732913,0.882550645076793,0.8679008755799735,0.8679737886895049,0.9984008296265712,0.9986686647935352,0.9984773963244096,0.9984594921989872,0.998407387645448,0.9984176510819462,0.9986825613938466,0.9986094420369316,0.9980426647157375,0.9979208856487108,0.9982670204730996,0.998329852735642,0.998345590001767,0.998363974530334,0.9777074289584766,0.9830487661783044,0.9860847109854378,0.9869410206228842,0.9834966509548003,0.9845818913952958,0.9843872800463285,0.9857995399312899,0.9865813138824249,0.987657385722723,0.9789263189232814,0.9844428172286698,0.9751003674984385,0.9817923022494282,0.9849463108059104,0.9891624228739749
 Fwd Header Length.1, Down/Up Ratio, Bwd Packets/s, Min Packet Length,"[' Average Packet Size', ' Bwd Packets/s', ' Total Length of Bwd Packets', ' Init_Win_bytes_backward', ' Fwd Header Length.1', ' Flow IAT Min', ' Bwd Header Length', ' Fwd IAT Std', ' Subflow Fwd Bytes', ' Bwd IAT Max', ' Down/Up Ratio', 'Fwd Packets/s', 'Init_Win_bytes_forward', ' Bwd Packet Length Min', ' Fwd Packet Length Max', ' Fwd IAT Mean', ' Min Packet Length', ' URG Flag Count', ' Destination Port']","[' Init_Win_bytes_backward', ' Average Packet Size', ' Destination Port', 'Init_Win_bytes_forward']","[' Destination Port', ' Subflow Fwd Bytes', ' Fwd Packet Length Max', ' Average Packet Size', 'Init_Win_bytes_forward', ' Init_Win_bytes_backward']",Fwd IAT Total,0.8850166855986255,0.8849225824196567,0.8779389424170455,0.8789477284832612,0.9166491127634816,0.9174759066916398,0.9149204057407592,0.915707012422782,0.9470378215886368,0.9481206893965122,0.8826762210881448,0.8827287056609768,0.8762845409042898,0.8765108121200909,0.8936628300944965,0.8937720144935591,0.9039857075036756,0.9041518008358692,0.9982095047026908,0.9982034135143228,0.998686551452958,0.9986847483417712,0.9983261829552758,0.9984595753175948,0.9986867067833292,0.9987752140003292,0.9980426647157375,0.9979208856487108,0.9982670204730996,0.998329852735642,0.9985489666283692,0.9985566676558664,0.9747088165363413,0.9755580546099983,0.986261826534651,0.9877510650211234,0.9855624061525978,0.9872355511921076,0.9848553931460362,0.9857805656342032,0.9866662456985701,0.9878289988633503,0.9800919781061624,0.981123208057304,0.9803280207414466,0.9816593431880691,0.9851704176417592,0.9866265285282091
