Univariate,SFS,RFE,Importance,Union,Intersection,Quorum,Greedy,cv_score_Univariate_LR,test_score_Univariate_LR,cv_score_SFS_LR,test_score_SFS_LR,cv_score_RFE_LR,test_score_RFE_LR,cv_score_Importance_LR,test_score_Importance_LR,cv_score_Union_LR,test_score_Union_LR,cv_score_Intersection_LR,test_score_Intersection_LR,cv_score_Quorum_LR,test_score_Quorum_LR,cv_score_Greedy_LR,test_score_Greedy_LR,cv_score_Univariate_GB,test_score_Univariate_GB,cv_score_SFS_GB,test_score_SFS_GB,cv_score_RFE_GB,test_score_RFE_GB,cv_score_Importance_GB,test_score_Importance_GB,cv_score_Union_GB,test_score_Union_GB,cv_score_Intersection_GB,test_score_Intersection_GB,cv_score_Quorum_GB,test_score_Quorum_GB,cv_score_Greedy_GB,test_score_Greedy_GB,cv_score_Univariate_NN,test_score_Univariate_NN,cv_score_SFS_NN,test_score_SFS_NN,cv_score_RFE_NN,test_score_RFE_NN,cv_score_Importance_NN,test_score_Importance_NN,cv_score_Union_NN,test_score_Union_NN,cv_score_Intersection_NN,test_score_Intersection_NN,cv_score_Quorum_NN,test_score_Quorum_NN,cv_score_Greedy_NN,test_score_Greedy_NN
sbytes,sbytes,sbytes,sttl,"['sttl', 'sbytes']",[],['sbytes'],sload,0.7090701564448071,0.8060044845352001,0.7101767134471422,0.8099646398490576,0.7101767134471422,0.8099646398490576,0.7851628682958285,0.884446323991132,0.7865179521460796,0.885864580178074,0.0,0.0,0.7101767134471422,0.8099646398490576,0.7101767134471422,0.8099646398490576,0.7091108041842256,0.8060807087085854,0.8604709742276782,0.8494906036393437,0.8604709742276782,0.8494906036393437,0.824752560525084,0.944772275420349,0.9001353071948259,0.9157978725749073,0.0,0.0,0.8604709742276782,0.8494906036393437,0.7503736944405313,0.7330958232251206,0.7093578381297273,0.8060807087085854,0.7101767134471422,0.8099646398490576,0.7101767134471422,0.8099646398490576,0.8245721621169892,0.9447497807530982,0.8245646363796137,0.9406091695031721,0.0,0.0,0.7101767134471422,0.8099646398490576,0.7277037941437434,0.7338555826441341
smean,dbytes,rate,sbytes,"['rate', 'sttl', 'sbytes', 'dbytes', 'smean']",['sbytes'],['sbytes'],sbytes,0.6975071560226136,0.7661143013398961,0.7102972022571633,0.811348419444473,0.7352775189264615,0.7576859939606428,0.7865179521460796,0.885864580178074,0.7851058493331654,0.8822756660685,0.7101767134471422,0.8099646398490576,0.7101767134471422,0.8099646398490576,0.7101767134471422,0.8099646398490576,0.6955484695301279,0.7661139254346003,0.9041422529580603,0.9031964088335476,0.8989169313687586,0.8971879744369455,0.9001353071948259,0.9157978725749073,0.9275614266448422,0.9241649738217578,0.8604709742276782,0.8494906036393437,0.8604709742276782,0.8494906036393437,0.8800632819334613,0.876110978760835,0.709347675829946,0.8060807087085854,0.7303387558934128,0.7424204448616699,0.7394470539889608,0.7621292338129678,0.8245721621169892,0.9447497807530982,0.8703596816366641,0.8763436137604541,0.7101767134471422,0.8274594586350343,0.7101767134471422,0.8099646398490576,0.7333032851043033,0.7519701538304289
sload,rate,sttl,ct_state_ttl,"['sload', 'rate', 'sbytes', 'sttl', 'dbytes', 'smean', 'ct_state_ttl']",['sbytes'],['sbytes'],ct_state_ttl,0.6954059277453458,0.7660295661301609,0.735293465406121,0.7577111705577173,0.7867780329504618,0.8862970528407613,0.7866154012551532,0.8860404207580811,0.785727591002719,0.8830319370089541,0.7101767134471422,0.8099646398490576,0.7101767134471422,0.8099646398490576,0.7324905467991822,0.7790850425260573,0.6955559081060619,0.7661139254346003,0.9198169159030087,0.9097060405090518,0.9146832161526689,0.910951610819288,0.903336013954433,0.9179428712291622,0.9275335595092831,0.9209868222691238,0.8604709742276782,0.8494906036393437,0.8604709742276782,0.8494906036393437,0.8996614158944777,0.9124459172522855,0.6982831880003748,0.8044157753367819,0.7405675988212399,0.7616754983598284,0.8027778278957861,0.8342674737141764,0.8277606182502784,0.856921686328134,0.8765036395472882,0.903704564656656,0.7101767134471422,0.8099646398490576,0.7101767134471422,0.8099646398490576,0.8419195583250657,0.935272507838652
dbytes,trans_depth,dbytes,smean,"['sload', 'rate', 'trans_depth', 'sbytes', 'sttl', 'dbytes', 'smean', 'ct_state_ttl']",['sbytes'],"['sbytes', 'dbytes']",rate,0.6955157048917598,0.7660295661301609,0.7349981198777704,0.7599921244339437,0.787033659083307,0.8864879614904131,0.7851069924954736,0.8831828321622929,0.7857255653258665,0.8830452971230669,0.7101767134471422,0.8099646398490576,0.7102972022571633,0.811348419444473,0.7209587065227384,0.7603088779871818,0.7271446183814673,0.8120705339024561,0.9207718568382258,0.9161678783283529,0.9275783278602276,0.9251845999708701,0.9082800964887806,0.9159409264411232,0.929121655084567,0.9237734045519115,0.8604709742276782,0.8494906036393437,0.9041422529580603,0.9031964088335476,0.9134178752353304,0.9147006890325664,0.7068595256936775,0.8052137478370653,0.7414017143328511,0.7729223468894394,0.7896668248924983,0.7962164786183967,0.8699482100382181,0.8882308456260878,0.8836319551977623,0.8886543005077162,0.7101767134471422,0.8099646398490576,0.730206915400012,0.8405429638122115,0.8488106490842873,0.9337324491044704
ct_state_ttl,stcpb,smean,sload,"['sload', 'rate', 'trans_depth', 'sbytes', 'sttl', 'dbytes', 'smean', 'ct_state_ttl', 'stcpb']",['sbytes'],"['sbytes', 'dbytes', 'smean']",dbytes,0.7055776765202125,0.7664439059019362,0.7416191052017866,0.7729205427798863,0.7851058493331654,0.8822756660685,0.7854045130471548,0.8819228275663678,0.7861139836102791,0.8815414218465449,0.7101767134471422,0.8099646398490576,0.7041326331725677,0.7935221516729686,0.7210056812434769,0.7603547627398907,0.7422051201299656,0.7881457256391321,0.9206217831039819,0.9118496850492614,0.9275509668197822,0.9241649738217578,0.9064534190018645,0.9170091405087507,0.9286187789189881,0.9244820101586572,0.8604709742276782,0.8494906036393437,0.9147669384705566,0.9227699872438283,0.9265919007311526,0.92253558624117,0.7179351710872796,0.7760960108064111,0.7399123823149227,0.7646499937162248,0.8678137153114965,0.8773958747078766,0.8707754066078401,0.8846974207486846,0.8819327898234656,0.8900463542116828,0.7101767134471422,0.8099646398490576,0.781664221079503,0.8466566504334612,0.8223010402735644,0.8289077974342707
rate,smean,ct_state_ttl,ct_dst_sport_ltm,"['sload', 'rate', 'trans_depth', 'sbytes', 'sttl', 'dbytes', 'smean', 'ct_dst_sport_ltm', 'ct_state_ttl', 'stcpb']","['smean', 'sbytes']","['sbytes', 'dbytes', 'rate', 'smean', 'ct_state_ttl']",smean,0.7029007812790565,0.7584593688512823,0.7406614563089663,0.7700313935033857,0.7850524112689063,0.8821849814726554,0.793981594388012,0.8834601796882714,0.7872067316168188,0.8717364448693269,0.7034862164803073,0.7916799501250417,0.7194899223215477,0.7597984048539413,0.7220554503465173,0.7612848960628029,0.7442417970026436,0.790666643257194,0.923024068129892,0.921566100700755,0.9286432634505054,0.9220915553783802,0.9071852265882061,0.9169918254206465,0.9293546548765332,0.9246145009499405,0.8922155250014038,0.9041623648561072,0.9279086585958909,0.92285545973575,0.9268748783490027,0.9214449033127138,0.7480740206839173,0.8053244167645108,0.8090158613387819,0.8961381103172734,0.8741883602558127,0.8939044555688948,0.8794477266376205,0.8850293430182826,0.8860351656918691,0.8898679216915499,0.6252487555325608,0.7757987331466809,0.8626256244532587,0.8674335912988913,0.8618740410086702,0.8399628458536068
dur,synack,sload,synack,"['sload', 'rate', 'trans_depth', 'sbytes', 'sttl', 'dbytes', 'smean', 'ct_dst_sport_ltm', 'dur', 'ct_state_ttl', 'synack', 'stcpb']","['smean', 'sbytes']","['sbytes', 'dbytes', 'rate', 'sload', 'smean', 'ct_state_ttl']",dur,0.7153602831946408,0.7415932040391089,0.7406226424243697,0.7678157027180463,0.7857645698513698,0.8831007406391441,0.8020201033515694,0.865324086423046,0.8037206379164032,0.8550680511690258,0.7034862164803073,0.7916799501250417,0.7220554503465173,0.761303501068895,0.7255765727465701,0.7674161884777183,0.7580629267462273,0.7937072949386104,0.9280803836109094,0.9243665510651851,0.9275335595092831,0.9209868222691238,0.9158001048739871,0.9158608937977307,0.9330520326847852,0.9228988438152764,0.8922155250014038,0.9041623648561072,0.9268643926611917,0.9214640198511167,0.9293157439719879,0.9188234089806527,0.7632257664463844,0.8361939076318374,0.8747125316755173,0.8740271926112635,0.8773564017499457,0.9041882070205487,0.8863738097431255,0.8994407380100343,0.9028424546433673,0.8876256460811321,0.6929054744234785,0.5654865038630446,0.8626952951240708,0.8530899515004547,0.8817441284227847,0.8740509571940939
dmean,dmean,synack,dbytes,"['sload', 'rate', 'trans_depth', 'sbytes', 'sttl', 'dbytes', 'smean', 'dmean', 'ct_dst_sport_ltm', 'dur', 'ct_state_ttl', 'synack', 'stcpb']","['smean', 'dbytes', 'sbytes']","['sbytes', 'dbytes', 'rate', 'sload', 'synack', 'smean', 'ct_state_ttl']",sttl,0.71311401223181,0.7386420130352884,0.746474149318005,0.7824966935786336,0.7887624764076473,0.8752960228459984,0.8023584868848461,0.8655130877718563,0.8099181518176278,0.8564078790688374,0.7041326331725677,0.7935221516729686,0.7311725405878173,0.766093875237034,0.7856332412539946,0.8830299315470705,0.8059530871441529,0.8326051604740129,0.9307235648959254,0.9254627357885848,0.927533664250371,0.9214521744915837,0.9264839572505045,0.9212729723976442,0.934050520918046,0.9249148722308568,0.9147669384705566,0.9227740602764879,0.9272123348522291,0.9197130957889865,0.9300893223255716,0.9195192102833605,0.7630304436342569,0.8033270588437997,0.9048363679691839,0.9026030712169528,0.8943330629803097,0.9008500884380753,0.8979383817302649,0.8985987399522051,0.9146022900781137,0.90293613431658,0.32014411541547233,0.34201438669542344,0.8869944109657435,0.8668732391725223,0.8858909641621799,0.8934937530600032
dttl,sttl,ct_dst_sport_ltm,rate,"['sload', 'rate', 'dttl', 'trans_depth', 'sbytes', 'sttl', 'dbytes', 'smean', 'dmean', 'ct_dst_sport_ltm', 'dur', 'ct_state_ttl', 'synack', 'stcpb']","['smean', 'dbytes', 'rate', 'sbytes']","['sbytes', 'dbytes', 'rate', 'sttl', 'sload', 'synack', 'smean', 'ct_state_ttl']",dload,0.712993449621158,0.7385374664744841,0.7957208517902659,0.8772190829168136,0.7999123039344451,0.8610078507683017,0.7999123039344451,0.8610078507683017,0.8075174825520133,0.8268244206982018,0.7334226092061734,0.7549650022620179,0.7888209000708837,0.8752824200843669,0.7875033594429466,0.8796960125313068,0.8291557498357015,0.8590079091800747,0.9338901726397882,0.9282856209092596,0.9281999982634186,0.9201375790524798,0.9281999982634186,0.9201246194402777,0.934106483027073,0.9250291211395113,0.9217588746828437,0.9222443647314115,0.9275441553514847,0.9214521744915837,0.9308113379534777,0.9199984034273094,0.7653972422176128,0.8124526144136894,0.906083435811728,0.8978540224538748,0.8996238773118694,0.8988927752111963,0.9022381156240484,0.9032316099579463,0.9152167674833022,0.9061164373040328,0.8054646030905733,0.8407953176753991,0.8961395310195025,0.9031107677658706,0.8862262643878995,0.9046691648870205
dinpkt,ct_dst_sport_ltm,dur,dur,"['sload', 'rate', 'dttl', 'trans_depth', 'sbytes', 'sttl', 'dbytes', 'smean', 'dinpkt', 'dmean', 'ct_dst_sport_ltm', 'dur', 'ct_state_ttl', 'synack', 'stcpb']","['smean', 'dbytes', 'rate', 'sbytes']","['dur', 'sbytes', 'dbytes', 'rate', 'sttl', 'sload', 'synack', 'smean', 'ct_dst_sport_ltm', 'ct_state_ttl']",dinpkt,0.703974292768023,0.665434065612029,0.8010429467654754,0.8571467280856253,0.8015629787910934,0.8637112950710548,0.8015715443913672,0.8637112950710548,0.8088278177010771,0.8287146831991932,0.7334226092061734,0.7549650022620179,0.8015845292788137,0.8637112950710548,0.7880610090772749,0.881561348202497,0.8377814611414875,0.8125381659667616,0.933838491719834,0.9261889276755021,0.9296863781588603,0.9189503751515933,0.9296742724943954,0.9189503751515933,0.9351646971650792,0.9243225526411367,0.9217588746828437,0.9222443647314115,0.9296742724943954,0.9189503751515933,0.9311442675005311,0.9213759213759214,0.7522195608389743,0.7141237814554523,0.9119072613539483,0.902867287738733,0.9035548558394796,0.8983489861162683,0.9005472312880258,0.900024379892909,0.915012522961417,0.9077754430801211,0.8105748288092549,0.8700416627593877,0.9033641754309819,0.8909561951411197,0.8930997477955407,0.898523777072737
