features,cv_score_LR,test_score_LR,cv_score_GB,test_score_GB,cv_score_NN,test_score_NN
same_srv_rate,0.883369823249742,0.7374071336885916,0.892197172043395,0.7218818546252174,0.7343292360413205,0.7372154661677579
dst_host_diff_srv_rate,0.88962549593903,0.7433614372389884,0.9077833105565808,0.7347396942132765,0.7381136362257893,0.73802139866646
dst_host_same_srv_rate,0.8892853733203031,0.7423419166863532,0.9145772317392972,0.7337607167683634,0.7367672391779685,0.7421428011599656
src_bytes,0.8893118723073077,0.7423419166863532,0.9225865963169756,0.7429198166790709,0.7392543508218696,0.7409928412158198
dst_bytes,0.8893835999076988,0.7423419166863532,0.9230618560349784,0.7434481137618992,0.7373608058661477,0.7372466806429071
dst_host_srv_serror_rate,0.8918556924414587,0.760226861349101,0.9261548044370288,0.7514739049578602,0.7398518661929716,0.7429152966964147
count,0.909587905571484,0.7378120560178608,0.9441918911602242,0.7561218395381246,0.7238509992781597,0.7229232177685786
diff_srv_rate,0.9088926891766702,0.7292919573410312,0.9445294666267042,0.7613358457282604,0.7209940164190134,0.7224767900545883
logged_in,0.9112076624182968,0.7401003221728315,0.9556554291384176,0.7716296963247933,0.7462464905631211,0.7469448831989359
dst_host_srv_diff_host_rate,0.925668005272065,0.7335418105023758,0.9731843057939212,0.781849768365321,0.7389248946825535,0.7357238796857829
dst_host_count,0.9257447363881396,0.7316697723405978,0.9754731019351436,0.7744047131985926,0.7339506901676865,0.734086999262718
dst_host_same_src_port_rate,0.9349690057432394,0.7410345532610919,0.9843409750055684,0.7823304521276596,0.7464640672878845,0.7438497340425533
srv_diff_host_rate,0.9357859449272176,0.7380971758769431,0.9843439074023208,0.782369833936821,0.749500479123898,0.746842302722081
dst_host_srv_rerror_rate,0.9387691317598228,0.7500929252880684,0.9873400425818512,0.7737659022602824,0.762871898159621,0.7617037443539195
wrong_fragment,0.9484338451020704,0.748531723054016,0.9883849408995408,0.778195333470989,0.76167594992126,0.7542503863987635
hot,0.9491177943055366,0.7470058643759808,0.9895939250958332,0.7731683545912963,0.7633892925469667,0.7680918953414168
num_compromised,0.9491015869973516,0.7469750154862688,0.9895078090298368,0.7747869378111552,0.7766885177391498,0.7601419878296146
duration,0.9491354643974692,0.7473244907235239,0.9904176911742985,0.7748525869944357,0.7599842899066096,0.7606074707051905
su_attempted,0.9491762292732636,0.747386255630398,0.99042518985322,0.7753611157230617,0.7743416386849031,0.7718861362758147
root_shell,0.949191020966698,0.7474263033861166,0.99039460781067,0.7648234510326449,0.767104225764218,0.7580645161290323
land,0.9491562042531184,0.7474572066484743,0.9904926895879236,0.7648234510326449,0.7647731379166733,0.7608787494719055
is_host_login,0.9491562042531184,0.7474572066484743,0.9904851987214818,0.7647720174890693,0.7646336743328128,0.7526971648406792
srv_count,0.9473062446598148,0.7458955531721805,0.9904062232678632,0.7837128939589492,0.7700207539787568,0.7598360309343701
num_access_files,0.947345851691322,0.7458340207886488,0.9905452716559736,0.7820305032622699,0.7539224581524658,0.7517866844986835
num_shells,0.9473311088344312,0.7458340207886488,0.990442564003356,0.7806050559469541,0.7623279943780096,0.7615778992415576
num_file_creations,0.9474474978448766,0.7457934675024744,0.990494375897214,0.7830929720294251,0.7632189281373136,0.7655237120436712
num_failed_logins,0.9474250974128112,0.7454537957197641,0.9905962450362048,0.7845179568369303,0.7557537439331617,0.7567726737338044
urgent,0.9474173452843316,0.7454845360824742,0.99053284765839,0.7816416300107893,0.7600747640177044,0.7574407264166806
