Univariate,SFS,RFE,Importance,Union,Intersection,Quorum,Greedy,cv_score_Univariate_LR,test_score_Univariate_LR,cv_score_SFS_LR,test_score_SFS_LR,cv_score_RFE_LR,test_score_RFE_LR,cv_score_Importance_LR,test_score_Importance_LR,cv_score_Union_LR,test_score_Union_LR,cv_score_Intersection_LR,test_score_Intersection_LR,cv_score_Quorum_LR,test_score_Quorum_LR,cv_score_Greedy_LR,test_score_Greedy_LR,cv_score_Univariate_GB,test_score_Univariate_GB,cv_score_SFS_GB,test_score_SFS_GB,cv_score_RFE_GB,test_score_RFE_GB,cv_score_Importance_GB,test_score_Importance_GB,cv_score_Union_GB,test_score_Union_GB,cv_score_Intersection_GB,test_score_Intersection_GB,cv_score_Quorum_GB,test_score_Quorum_GB,cv_score_Greedy_GB,test_score_Greedy_GB,cv_score_Univariate_NN,test_score_Univariate_NN,cv_score_SFS_NN,test_score_SFS_NN,cv_score_RFE_NN,test_score_RFE_NN,cv_score_Importance_NN,test_score_Importance_NN,cv_score_Union_NN,test_score_Union_NN,cv_score_Intersection_NN,test_score_Intersection_NN,cv_score_Quorum_NN,test_score_Quorum_NN,cv_score_Greedy_NN,test_score_Greedy_NN
src_bytes,dst_host_diff_srv_rate,diff_srv_rate,same_srv_rate,"['diff_srv_rate', 'src_bytes', 'dst_host_diff_srv_rate', 'same_srv_rate']",[],[],diff_srv_rate,0.6967290706915091,0.6021578718918583,0.6931859543376182,0.6270544470747379,0.701111931211112,0.6302711345013656,0.883369823249742,0.7374071336885916,0.8935648102204681,0.7282491944146079,0.0,0.0,0.0,0.0,0.701111931211112,0.6302711345013656,0.70017326791735,0.608502100445169,0.8570543084573099,0.7183424072695938,0.8918980971806626,0.7336331834082959,0.892197172043395,0.7218818546252174,0.9196492880132083,0.736642256577163,0.0,0.0,0.0,0.0,0.8918980971806626,0.7336331834082959,0.6967290706915091,0.6021392032243063,0.8504703751593503,0.7216159371403627,0.887459799726555,0.7333486978566489,0.883785598462876,0.7375842324621198,0.9077045273795615,0.7306349510838288,0.0,0.0,0.0,0.0,0.8865333588293666,0.7326899509803922
dst_bytes,dst_host_same_src_port_rate,same_srv_rate,diff_srv_rate,"['src_bytes', 'dst_host_same_src_port_rate', 'dst_bytes', 'diff_srv_rate', 'dst_host_diff_srv_rate', 'same_srv_rate']",[],[],same_srv_rate,0.6967398842015612,0.6021578718918583,0.6931407305285233,0.6249072387505903,0.8888432181983497,0.7242149918563692,0.8888432181983497,0.7242149918563692,0.911839296092079,0.7357449914834943,0.0,0.0,0.0,0.0,0.8888432181983497,0.7242149918563692,0.7004136020123404,0.608698378852968,0.9193748190195015,0.7479254409741045,0.8982542548443279,0.7228062243321652,0.8982542548443279,0.7228062243321652,0.9559541770763126,0.7561973328969973,0.0,0.0,0.0,0.0,0.8982542548443279,0.7228062243321652,0.6967398842015612,0.6021392032243063,0.9131033634613159,0.7342657342657343,0.8968459355316147,0.720015048908954,0.8963846291197093,0.7209258491348437,0.9438723589244201,0.7355863158332294,0.0,0.0,0.0,0.0,0.8959736517591216,0.7201263775529394
same_srv_rate,srv_count,dst_host_same_src_port_rate,dst_host_same_srv_rate,"['src_bytes', 'dst_host_same_src_port_rate', 'dst_host_same_srv_rate', 'dst_bytes', 'srv_count', 'diff_srv_rate', 'dst_host_diff_srv_rate', 'same_srv_rate']",[],['same_srv_rate'],dst_host_same_srv_rate,0.88339405696255,0.7374071336885916,0.6979422385930154,0.6141184573002755,0.9103169456478589,0.7276069109177795,0.8898479291409739,0.7237150859132542,0.9176505674440818,0.7237313789532382,0.0,0.0,0.883369823249742,0.7374071336885916,0.8898479291409739,0.7237150859132542,0.9005333535513067,0.732826771049198,0.9435872756808681,0.7441682600382409,0.9274168129674459,0.740478515625,0.9055342802444729,0.7308770986207691,0.9704290968893057,0.7660031386801024,0.0,0.0,0.892197172043395,0.7218818546252174,0.9055342802444729,0.7308770986207691,0.8883258666360213,0.7373386876681352,0.9407832087409173,0.7363981794646959,0.924557030643037,0.7399414336716275,0.9036254711766775,0.7281854761448553,0.9589602391835836,0.7405050039780579,0.0,0.0,0.707530481699378,0.7297856049004595,0.9043649596389995,0.7277543186180422
diff_srv_rate,src_bytes,dst_host_same_srv_rate,logged_in,"['src_bytes', 'dst_host_same_src_port_rate', 'dst_host_same_srv_rate', 'dst_bytes', 'logged_in', 'srv_count', 'diff_srv_rate', 'dst_host_diff_srv_rate', 'same_srv_rate']",[],"['same_srv_rate', 'diff_srv_rate']",logged_in,0.8888733482259825,0.7242149918563692,0.6979461315742842,0.6141184573002755,0.9157615688252105,0.741175518134715,0.8927961254698618,0.7331670822942643,0.9294830123098287,0.7335163709379995,0.0,0.0,0.8888432181983497,0.7242149918563692,0.8927961254698618,0.7331670822942643,0.9063936755336706,0.7331852305806649,0.9523673402672517,0.7696688020767911,0.937494575552587,0.753163269457667,0.9097571403885594,0.7419341974077768,0.9731252021537256,0.7717041800643086,0.0,0.0,0.8982542548443279,0.7228062243321652,0.9097571403885594,0.7419341974077768,0.8967473210794245,0.7199518326183486,0.9422139324855129,0.7475054229934924,0.9349079425855571,0.7424048806628469,0.9060965312702308,0.732725509214355,0.964817057888717,0.7523067200337056,0.0,0.0,0.8967197264923372,0.7234685399199334,0.9076959577657417,0.7281287384710377
dst_host_same_srv_rate,dst_host_count,logged_in,dst_host_diff_srv_rate,"['src_bytes', 'dst_host_same_src_port_rate', 'dst_host_same_srv_rate', 'dst_bytes', 'dst_host_count', 'logged_in', 'srv_count', 'diff_srv_rate', 'dst_host_diff_srv_rate', 'same_srv_rate']",[],"['same_srv_rate', 'diff_srv_rate', 'dst_host_same_srv_rate']",dst_host_diff_srv_rate,0.8898765809882644,0.7237150859132542,0.7336496090743703,0.6393294064340735,0.9239117757428603,0.7318152031454783,0.8992900783048263,0.7286271179898876,0.9283103461750674,0.7314257644602726,0.0,0.0,0.8898479291409739,0.7237150859132542,0.8992900783048263,0.7286271179898876,0.9150885963024127,0.7390065940926294,0.9623602468647098,0.7724796782033018,0.9464718586023423,0.747304781634465,0.9211922934631488,0.7385461689587426,0.9795200478212523,0.7754764562404398,0.0,0.0,0.9055342802444729,0.7308770986207691,0.9211922934631488,0.7385461689587426,0.9039492250714408,0.7274405013649122,0.9500963555808312,0.7497644136040436,0.9441347833894168,0.7582115219260533,0.9181895248302983,0.7360664003413101,0.9692501317501486,0.7504702980644622,0.0,0.0,0.903393368278374,0.7275801121954968,0.9187658420588921,0.7437433070241541
logged_in,dst_host_srv_diff_host_rate,count,count,"['src_bytes', 'dst_host_same_src_port_rate', 'dst_host_same_srv_rate', 'dst_bytes', 'logged_in', 'dst_host_count', 'dst_host_srv_diff_host_rate', 'srv_count', 'count', 'diff_srv_rate', 'dst_host_diff_srv_rate', 'same_srv_rate']",[],"['logged_in', 'same_srv_rate', 'diff_srv_rate', 'dst_host_same_srv_rate']",dst_host_srv_serror_rate,0.8927832493415402,0.7331670822942643,0.7405210481664279,0.6455338068017783,0.9299582654623986,0.7324082033648533,0.90849944566215,0.7165817636141057,0.9308167465081997,0.7284020327498587,0.0,0.0,0.8927961254698618,0.7331670822942643,0.902462212854183,0.7542406625786414,0.9191675405140964,0.7579998363204845,0.9671950010569287,0.7722730707868,0.9596640870552555,0.7374963981393817,0.9420776022623908,0.7261875957738528,0.9817737545388481,0.7668884444263031,0.0,0.0,0.9097571403885594,0.7419341974077768,0.9234296365202951,0.7522847906772558,0.9084449651750237,0.7363977485928705,0.9600425128176342,0.7552686701149917,0.9577405556925477,0.7401751255342988,0.9356383941058961,0.735608552631579,0.9776669504045665,0.7403497195645001,0.0,0.0,0.9091810712449548,0.7271124060726881,0.9206517751551297,0.7558405129232619
dst_host_diff_srv_rate,dst_bytes,dst_host_diff_srv_rate,dst_host_same_src_port_rate,"['src_bytes', 'dst_host_same_src_port_rate', 'dst_host_same_srv_rate', 'dst_bytes', 'logged_in', 'dst_host_count', 'dst_host_srv_diff_host_rate', 'srv_count', 'count', 'diff_srv_rate', 'dst_host_diff_srv_rate', 'same_srv_rate']",['dst_host_diff_srv_rate'],"['logged_in', 'same_srv_rate', 'diff_srv_rate', 'dst_host_same_srv_rate', 'dst_host_diff_srv_rate', 'dst_host_same_src_port_rate']",count,0.8993760772286704,0.7286761868004631,0.7405210481664279,0.6455338068017783,0.9300466988336508,0.7324001309757695,0.9300466988336508,0.7324001309757695,0.9308167465081997,0.7284020327498587,0.6931859543376182,0.6270544470747379,0.9238789431082932,0.7323608948619191,0.9111947999986947,0.7401003221728315,0.9294124062872839,0.7481093193549678,0.9681493182430397,0.7705678352066184,0.9668957640915817,0.7399603371343579,0.9668957640915817,0.7399603371343579,0.9817737545388481,0.7668884444263031,0.8570543084573099,0.7183424072695938,0.9562846185344831,0.7474959138342903,0.9467263345049352,0.7326580226904377,0.9186100750970798,0.7384350682360302,0.9564727810941257,0.7534792939579091,0.9659100649320006,0.7411432838297519,0.9668403069842346,0.7389435397205919,0.9781162232683049,0.7430630332146111,0.8497735234120796,0.720626631853786,0.9538513779962712,0.7511404817736089,0.9413557039424008,0.735088005215124
dst_host_srv_serror_rate,dst_host_srv_serror_rate,dst_host_srv_diff_host_rate,dst_host_srv_serror_rate,"['src_bytes', 'dst_host_same_src_port_rate', 'dst_host_same_srv_rate', 'dst_bytes', 'logged_in', 'dst_host_count', 'dst_host_srv_serror_rate', 'srv_count', 'dst_host_srv_diff_host_rate', 'count', 'diff_srv_rate', 'dst_host_diff_srv_rate', 'same_srv_rate']",['dst_host_diff_srv_rate'],"['logged_in', 'dst_host_srv_serror_rate', 'same_srv_rate', 'diff_srv_rate', 'dst_host_same_srv_rate', 'dst_host_diff_srv_rate', 'dst_host_same_src_port_rate']",dst_host_srv_diff_host_rate,0.902476066323516,0.7541806020066889,0.8861142172391551,0.6676830401963335,0.9302135690284921,0.7285109812613338,0.9340222542590475,0.7462599491603117,0.9366111805659084,0.7424143021157946,0.6931859543376182,0.6270544470747379,0.927098167544165,0.7514460558303294,0.9256389875306763,0.7335418105023758,0.9321261465492634,0.7598404576769671,0.9763346184744371,0.7750702131174624,0.9723926248470848,0.7341844668139781,0.9694704882382336,0.74151824455556,0.9845151304916173,0.7820262117744955,0.8570543084573099,0.7183424072695938,0.9598283478439527,0.7482086318946841,0.9646160259520977,0.7288699907737977,0.9210946454134327,0.7495750484247143,0.9680853050827979,0.744724416029418,0.9745639907542379,0.7362700228832952,0.9683660215581303,0.757162867693875,0.9796948599688889,0.7426561853537444,0.8503255051506041,0.720626631853786,0.9574737743919579,0.7726574500768049,0.9625817616454118,0.7448777263714474
count,dst_host_srv_rerror_rate,dst_host_srv_serror_rate,dst_host_srv_diff_host_rate,"['src_bytes', 'dst_host_same_src_port_rate', 'dst_host_same_srv_rate', 'dst_bytes', 'logged_in', 'dst_host_count', 'dst_host_srv_serror_rate', 'srv_count', 'dst_host_srv_diff_host_rate', 'count', 'diff_srv_rate', 'dst_host_diff_srv_rate', 'dst_host_srv_rerror_rate', 'same_srv_rate']","['dst_host_srv_serror_rate', 'dst_host_diff_srv_rate']","['logged_in', 'count', 'dst_host_srv_serror_rate', 'same_srv_rate', 'diff_srv_rate', 'dst_host_same_srv_rate', 'dst_host_diff_srv_rate', 'dst_host_same_src_port_rate', 'dst_host_srv_diff_host_rate']",dst_host_same_src_port_rate,0.9112076624182969,0.7401003221728315,0.9203372322933703,0.7770810067863585,0.9352744717729913,0.7406437891120292,0.9352744717729913,0.7406437891120292,0.9398964715911656,0.7433983926521239,0.8556762087908851,0.6716852496271571,0.9352744717729913,0.7406437891120292,0.9352744717729913,0.7406437891120292,0.9556554291384176,0.7716296963247933,0.9833974689100302,0.7792036311120281,0.9745921512980038,0.7338041392823612,0.9745921512980038,0.7338041392823612,0.9873982969366152,0.7783296084761195,0.8867106937888238,0.7211407700975251,0.9745921512980038,0.7338041392823612,0.9745921512980038,0.7338041392823612,0.9400645055482766,0.7372274650178978,0.9832904916118419,0.7592872751722979,0.9747680666058006,0.7569318803382841,0.9749425807064922,0.7566133108677339,0.9855269750248535,0.7582886345398487,0.8805167244176662,0.7189879348717348,0.9741314227721075,0.7574697627375784,0.9753822638458823,0.7391018259582168
dst_host_srv_diff_host_rate,same_srv_rate,dst_host_srv_rerror_rate,dst_host_count,"['src_bytes', 'dst_host_same_src_port_rate', 'dst_host_same_srv_rate', 'dst_bytes', 'logged_in', 'dst_host_srv_diff_host_rate', 'dst_host_srv_serror_rate', 'srv_count', 'dst_host_count', 'count', 'diff_srv_rate', 'dst_host_diff_srv_rate', 'dst_host_srv_rerror_rate', 'same_srv_rate']","['dst_host_srv_diff_host_rate', 'same_srv_rate', 'dst_host_diff_srv_rate', 'dst_host_srv_serror_rate']","['logged_in', 'count', 'dst_host_srv_serror_rate', 'same_srv_rate', 'diff_srv_rate', 'dst_host_same_srv_rate', 'dst_host_diff_srv_rate', 'dst_host_same_src_port_rate', 'dst_host_srv_diff_host_rate']",src_bytes,0.925668005272065,0.7335418105023758,0.9415804568942615,0.7587043856712421,0.9396578753841286,0.7435130149620822,0.9349318491923251,0.7410951621477938,0.9399042702020411,0.7433983926521239,0.9070099458077188,0.7553902156086242,0.9352744717729913,0.7406437891120292,0.935289132459985,0.7406437891120292,0.9731843057939212,0.7819144535451311,0.9841457012990782,0.772316291303633,0.9831335495385503,0.7536171280421511,0.976190811209362,0.736984062116878,0.9873982969366152,0.7783296084761195,0.9390480160348842,0.7405690034580321,0.9745921512980038,0.7338041392823612,0.9831051759675914,0.7469590401323954,0.9622696426978061,0.7360397815276759,0.9829736934640423,0.7554755224255623,0.983703784510278,0.7609966946351385,0.979023040748665,0.7483628779979146,0.985929703374898,0.7568793849514767,0.9321291706313171,0.7482134349690329,0.9745234097993005,0.7539679216047575,0.9736317236939499,0.7562607853865905
